Variable:,pr
,Annual,DJF,MAM,JJA,SON
country/GRC,686.57,154.35,152.03,76.39,202.15
,1052.64,235.64,224.48,92.76,336.01
,610.83,204.41,113.56,11.17,159.30
,1027.30,253.96,191.38,49.23,356.45
,795.65,196.24,160.19,49.38,258.03
,501.57,130.77,107.46,30.85,147.77
,636.77,194.87,141.06,27.39,157.77
,653.38,121.91,155.38,118.48,178.31
,634.20,124.92,151.19,83.08,190.13
,610.65,142.10,135.13,55.94,182.19
,691.10,184.13,135.89,43.71,206.00
,764.80,274.10,135.10,15.50,197.11
,538.91,91.93,134.19,104.14,148.17
,706.40,121.30,176.42,116.20,202.22
